,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,GEOMETRIC_CENTER,"F R Smith Dr, Burnley VIC 3121, Australia",ChIJmwUu-kBC1moRDY1P9iJRbMk,(Sign 1) F R Smith Dr Burnley  VIC  3121          ,-37.830949,145.025075,1,3121,OK,"establishment,point_of_interest"
1,RANGE_INTERPOLATED,"1 Yarra Blvd, Richmond VIC 3121, Australia",EioxIFlhcnJhIEJsdmQsIFJpY2htb25kIFZJQyAzMTIxLCBBdXN0cmFsaWEiGhIYChQKEglH63LwWkLWahEMGZDkWeMuphAB,(Sign 1) Yarra Bvd Burnley  VIC  3121             ,-37.8221092,145.014683,1,3121,OK,street_address
2,ROOFTOP,"1 Abbott Grove, Clifton Hill VIC 3068, Australia",ChIJry2d8gxD1moRPg1bLTNdm_Y,1 Abbott Gr Clifton Hill  VIC  3068               ,-37.7888664,144.998294,1,3068,OK,street_address
3,ROOFTOP,"1 Abbott St, Abbotsford VIC 3067, Australia",ChIGJG6oHEwVD1moRKjrUvGg8jMI,1 Abbott St Abbotsford  VIC  3067                 ,-37.7970546,144.9960917,2,3067,OK,street_address
4,ROOFTOP,"1 Abinger St, Richmond VIC 3121, Australia",ChIJCWX7U_FC1moR0hcpxmBmW_Y,1 Abinger St Richmond  VIC  3121                  ,-37.8199677,144.9994305,1,3121,OK,street_address
5,ROOFTOP,"1 Adam St, Burnley VIC 3121, Australia",ChIJBYYlhGBC1moR13ihQxqhzs0,1 Adam St Burnley  VIC  3121                      ,-37.828326,145.008203,1,3121,OK,street_address
6,ROOFTOP,"1 Bach Ln, Fitzroy VIC 3065, Australia",ChIJfSmiddlC1moRCmIZN2vRgm4,1 Bach Lane Fitzroy  VIC  3065                    ,-37.801608,144.97492,1,3065,OK,street_address
7,ROOFTOP,"1 Bainbridge Pl, Fitzroy North VIC 3068, Australia",ChIJJwo5ISND1moRwD5bsnoYSGE,1 Bainbridge Pl Fitzroy North  VIC  3068          ,-37.7913053,144.9801957,1,3068,OK,street_address
8,ROOFTOP,"1 Balmain St, Cremorne VIC 3121, Australia",ChIJt6mX-pBC1moRnRPonvCoInQ,1 Balmain St Cremorne  VIC  3121                  ,-37.829644,144.990863,1,3121,OK,street_address
9,ROOFTOP,"1 Barkly Ave, Richmond VIC 3121, Australia",ChIJ05oFBIxC1moRTTi1fv2YCVI,1 Barkly Ave Richmond  VIC  3121                  ,-37.829275,144.99936,1,3121,OK,street_address
10,ROOFTOP,"1 Barkly St, Fitzroy North VIC 3068, Australia",ChIJJZEZIkFD1moRrlqqX7VPqHw,1 Barkly St Fitzroy North  VIC  3068              ,-37.777948,144.979014,1,3068,OK,street_address
11,ROOFTOP,"1 Bath St, Abbotsford VIC 3067, Australia",ChIJUWvpSARD1moRK-QHub-wuGU,1 Bath St Abbotsford  VIC  3067                   ,-37.799253,144.998081,1,3067,OK,street_address
12,ROOFTOP,"1 Bedford St, Collingwood VIC 3066, Australia",ChIJiw0aox9D1moRJyLUSr499rg,1 Bedford St Collingwood  VIC  3066               ,-37.799424,144.984845,1,3066,OK,street_address
13,ROOFTOP,"1 Berry St, Richmond VIC 3121, Australia",ChIJYb2BcPFC1moRL8G47HvxhXo,1 Berry St Richmond  VIC  3121                    ,-37.81906,144.997501,1,3121,OK,street_address
14,ROOFTOP,"1 Bliss St, Richmond VIC 3121, Australia",ChIJb7OiHV9C1moRVxrt-KgdQqI,1 Bliss St Richmond  VIC  3121                    ,-37.8247076,145.0079143,1,3121,OK,street_address
15,ROOFTOP,"1 Botherambo St, Richmond VIC 3121, Australia",ChIJx9cyTO1C1moRP9ZV8Sk_eZ8,1 Botherambo St Richmond  VIC  3121               ,-37.8226166,144.9933482,1,3121,OK,premise
16,ROOFTOP,"1 Brougham St, Richmond VIC 3121, Australia",ChIJ_2c38_NC1moRbtuwOcq8Xxo,1 Brougham St Richmond  VIC  3121                 ,-37.821397,144.999255,1,3121,OK,street_address
17,ROOFTOP,"1 Caroline St, Clifton Hill VIC 3068, Australia",ChIJyaaqRAxD1moRBgFc8CbkBMc,1 Caroline St Clifton Hill  VIC  3068             ,-37.789871,144.998028,1,3068,OK,street_address
18,ROOFTOP,"1 Chestnut St, Cremorne VIC 3121, Australia",ChIJld9Uo41C1moRcjcHcjDrEkw,1 Chestnut St Cremorne  VIC  3121                 ,-37.826639,144.995898,1,3121,OK,street_address
19,ROOFTOP,"1 Church St, Abbotsford VIC 3067, Australia",ChIJDadPt_5C1moRKZaMA3MRO2U,1 Church St Abbotsford  VIC  3067                 ,-37.8100968,145.0005189,1,3067,OK,street_address
20,ROOFTOP,"1 Cole St, Richmond VIC 3121, Australia",ChIJY6WG91VC1moRZzOlT6id4ek,1 Cole St Richmond  VIC  3121                     ,-37.812408,145.005371,1,3121,OK,street_address
21,ROOFTOP,"1 Como St, Alphington VIC 3078, Australia",ChIJI959H_ZD1moRgWSjxU4s-To,1 Como St Alphington  VIC  3078                   ,-37.7804935,145.0341149,1,3078,OK,street_address
22,ROOFTOP,"1 Darlington Parade, Richmond VIC 3121, Australia",ChIJO0d-tfNC1moR_hvAywfeElg,1 Darlington Pde Richmond  VIC  3121              ,-37.820653,144.9971356,1,3121,OK,premise
23,ROOFTOP,"1 Dight St, Collingwood VIC 3066, Australia",ChIJXy3ujeFC1moR0bHLlvtk-Ek,1 Dight St Collingwood  VIC  3066                 ,-37.803788,144.988145,1,3066,OK,street_address
24,ROOFTOP,"1 Durham St, Richmond VIC 3121, Australia",ChIJ13aJKY9C1moRXtZvyZNapuo,1 Durham St Richmond  VIC  3121                   ,-37.8319966,144.9993737,1,3121,OK,premise
25,ROOFTOP,"1 Elliot St, Fitzroy VIC 3065, Australia",ChIJ63BoPCBD1moRqoUexyM3GkI,1 Elliott St Fitzroy  VIC  3065                   ,-37.799021,144.9822927,1,3065,OK,street_address
26,ROOFTOP,"1 Elm Grove, Richmond VIC 3121, Australia",ChIJge5-T_NC1moRkiU0rawAq7o,1 Elm Gr Richmond  VIC  3121                      ,-37.824283,144.998859,1,3121,OK,street_address
27,ROOFTOP,"1 Fairfield Park Dr, Fairfield VIC 3078, Australia",ChIJ-byKoZtD1moR9LYMeMV_uZY,1 Fairfield Park Dr Fairfield  VIC  3078          ,-37.7844976,145.0122422,1,3078,OK,street_address
28,ROOFTOP,"1 Foulkes St, Alphington VIC 3078, Australia",ChIJEQIy3_VD1moRkFk0FkUzKNs,1 Foulkes St Alphington  VIC  3078                ,-37.781434,145.03266,1,3078,OK,street_address
29,ROOFTOP,"1 Francis St, Richmond VIC 3121, Australia",ChIJWcxXVvZC1moRRqNHjo7gGq8,1 Francis St Richmond  VIC  3121                  ,-37.8193822,145.0026162,1,3121,OK,street_address
30,ROOFTOP,"1 Gough Pl, Cremorne VIC 3121, Australia",ChIJx-wT1ZBC1moRdW_67uwGRN8,1 Gough Pl Cremorne  VIC  3121                    ,-37.828393,144.988818,1,3121,OK,street_address
31,ROOFTOP,"1 Grant St, Fitzroy North VIC 3068, Australia",ChIJucVFuhdD1moR27iHw0MWcow,1 Grant St Fitzroy North  VIC  3068               ,-37.790352,144.985046,1,3068,OK,street_address
32,ROOFTOP,"1 Greeves St, Fitzroy VIC 3065, Australia",ChIJmYiqv9hC1moRdHcZadqEmmo,1 Greeves St Fitzroy  VIC  3065                   ,-37.799506,144.976518,1,3065,OK,street_address
33,ROOFTOP,"1 Groom St, Clifton Hill VIC 3068, Australia",ChIJkwaNFg9D1moRuRgOYRVeIOU,1 Groom St Clifton Hill  VIC  3068                ,-37.79491,144.99813,1,3068,OK,street_address
34,ROOFTOP,"1 Hall St, Clifton Hill VIC 3068, Australia",ChIJ76OKbQtD1moRazTZBW3aIx0,1 Hall St Clifton Hill  VIC  3068                 ,-37.7897698,145.0008629,1,3068,OK,street_address
