RegisterAddress,RegularAddress,Comments
2/4 BOND STREET ABBOTSFORD, 2-4 BOND STREET ABBOTSFORD, MatchesVHD, not EZI_ADD
14 ABINGER STREET RICHMOND, 10 ABINGER STREET RICHMOND,
146/1 NOONE STREET CLIFTON HILL, 1/146 NOONE STREET CLIFTON HILL,
146/2 NOONE STREET CLIFTON HILL, 2/146 NOONE STREET CLIFTON HILL,
146/7 NOONE STREET CLIFTON HILL, 7/146 NOONE STREET CLIFTON HILL,
146/8 NOONE STREET CLIFTON HILL, 8/146 NOONE STREET CLIFTON HILL,
176/1-10 NOONE STREET CLIFTON HILL, 1/176 NOONE STREET CLIFTON HILL,
176B NOONE STREET CLIFTON HILL, 2/176 NOONE STREET CLIFTON HILL,
176C NOONE STREET CLIFTON HILL, 3/176 NOONE STREET CLIFTON HILL,
176D NOONE STREET CLIFTON HILL, 4/176 NOONE STREET CLIFTON HILL,
176E NOONE STREET CLIFTON HILL, 5/176 NOONE STREET CLIFTON HILL,
176F NOONE STREET CLIFTON HILL, 6/176 NOONE STREET CLIFTON HILL,
176G NOONE STREET CLIFTON HILL, 7/176 NOONE STREET CLIFTON HILL,
176H NOONE STREET CLIFTON HILL, 8/176 NOONE STREET CLIFTON HILL,
176I NOONE STREET CLIFTON HILL, 9/176 NOONE STREET CLIFTON HILL,
176J NOONE STREET CLIFTON HILL, 10/176 NOONE STREET CLIFTON HILL,
22 FENWICK STREET CLIFTON HILL, NotExist,
88 WELLINGTON STREET COLLINGWOOD, 1602D/21 ROBERT STREET COLLINGWOOD, MultipleUnits
125 WELLINGTON STREET COLLINGWOOD,46 PEEL STREET COLLINGWOOD,
1-33  CONDELL STREET FITZROY,13 CONDELL STREET FITZROY, Police Station NoMatch!
Off FAIRFIELD PARK DRIVE FAIRFIELD, NotExist,
Off THE BOULEVARD BURNLEY, NotExist,
THE BOULEVARD BURNLEY, NotExist,
Off YARRA BEND ROAD YARRA BEND, NotExist,
Off YARRA BEND ROAD FAIRFIELD,NotExist,
At BRIDGE ROAD CREMORNE, NotExist,
end VICTORIA STREET RICHMOND, NotExist,
Off VICTORIA PARADE FITZROY, NotExist,
Off YARRA BOULEVARD RICHMOND, NotExist,
Off STANTON STREET ABBOTSFORD, NotExist,
North End GRANGE ROAD RICHMOND, NotExist,
South End CHURCH STREET RICHMOND, NotExist,
At BRIDGE ROAD RICHMOND, NotExist,
end PUNT ROAD RICHMOND,NotExist,
end SWAN STREET RICHMOND, NotExist
90 BURNLEY STREET RICHMOND, NotExist, Looks OK but not deliverable.
285 COPPIN STREET RICHMOND, NotExist, VicRoads Non Contributory Service Tower (Not addressable)
287 COPPIN STREET RICHMOND, NotExist, VicRoads Non Contributory Service Tower (Not addressable)
304 MARY STREET RICHMOND,NotExist, Vacant Lot part of 302 Mary Street.
28A VERE STREET ABBOTSFORD, 128A VERE STREET ABBOTSFORD, Incorrect read indented number in Register.
73 part NICHOLSON STREET ABBOTSFORD,73 NICHOLSON STREET ABBOTSFORD
97 part NICHOLSON STREET ABBOTSFORD, 97 NICHOLSON STREET ABBOTSFORD,
101 part NICHOLSON STREET ABBOTSFORD, 101 NICHOLSON STREET ABBOTSFORD,
103 part NICHOLSON STREET ABBOTSFORD, 103 NICHOLSON STREET ABBOTSFORD,
115 NICHOLSON STREET ABBOTSFORD, NotExist, Vacant
26-44 DOWN STREET COLLINGWOOD,28 DOWN STREET COLLINGWOOD, Factory conversion to 1-14/28 and 1-14/38
