Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO1,"40 ABBOTSFORD STREET ABBOTSFORD Timber Cottage Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO1,HO1
HO2,"42 ABBOTSFORD STREET ABBOTSFORD Gothick House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO2,HO2
HO3,2-4 BOND STREET ABBOTSFORD Former Grosvenor Common School,-,-,-,-,Yes Ref No H654,Yes,H654,No,No,HO3,HO3
HO4,"31-35 CHURCH STREET ABBOTSFORD Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO4,HO4
HO5,"67 CHURCH STREET ABBOTSFORD River House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO5,HO5
HO6,"13 CLARKE STREET ABBOTSFORD House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO6,HO6
HO7,"29 CLARKE STREET ABBOTSFORD Yarradale Flats Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO7,HO7
HO8,"31-37 CLARKE STREET ABBOTSFORD Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO8,HO8
HO9,CLARKE STREET / ST HELIERS STREET ABBOTSFORD Former Convent of the Good Shepherd,-,-,-,-,Yes Ref No H951,Yes,H951,No,No,HO9,HO9
HO9,"CLARKE STREET / ST HELIERS STREET ABBOTSFORD Former Convent of the Good Shepherd complex, including surrounding land uses and associated trees Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,Yes,No,No,No,,No,No,HO9,HO9
HO10,"CNR HENRY GIPPS STREET ABBOTSFORD Collingwood United Masonic Temple Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO10,HO10
HO11,"2 GREENWOOD STREET ABBOTSFORD Former Stables Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO11,HO11
HO12,"GROSVENOR STREET ABBOTSFORD Former Phoenix Biscuit Co. complex Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO12,HO12
HO13,"13 GROSVENOR STREET ABBOTSFORD House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO13,HO13
HO14,"19 GROSVENOR STREET ABBOTSFORD House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO14,HO14
HO15,"2 HODDLE STREET ABBOTSFORD Former Robert Reid Clothing Factory Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO15,HO15
HO16,"48 HODDLE STREET ABBOTSFORD Yorkshire Stingo Hotel Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO16,HO16
HO17,140 HODDLE STREET ABBOTSFORD Collingwood Town Hall,-,-,-,-,Yes Ref No H140,Yes,H140,Yes,No,HO17,HO17
HO18,"198-210 HODDLE STREET ABBOTSFORD Former Whybrow’s Shoe Factory Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO18,HO18
