PS,Heritage Place,External,Internal,Tree,Outbuildings,Included on the,Prohibited,Aboriginal,,,,,,,,,,
map,,Paint,Alteration,Controls,or fences,Victorian Heritage,uses may be,heritage,,,,,,,,,,
ref,,Controls,Controls,Apply?,which are not,Register under the,permitted?,place?,,,,,,,,,,
,,Apply?,Apply?,,exempt under,Heritage Act 2017 ?,,,,,,,,,,,,
,,,,,Clause 43.01-4,,,,,,,,,,,,,
HO1,40 ABBOTSFORD STREET,Yes,No,No,No,No,No,No,,,,,,,,,,
,ABBOTSFORD,,,,,,,,,,,,,,,,,
,Timber Cottage,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO2,42 ABBOTSFORD STREET,Yes,No,No,No,No,No,No,,,,,,,,,,
,ABBOTSFORD,,,,,,,,,,,,,,,,,
,Gothick House,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO3,2-4 BOND STREET ABBOTSFORD,-,-,-,-,Yes Ref No H654,No,No,,,,,,,,,,
,Former Grosvenor Common School,,,,,,,,,,,,,,,,,
PS,Heritage Place,External,Internal,Tree,Outbuildings,Included on the,Prohibited,Aboriginal,,,,,,,,,,
map,,Paint,Alteration,Controls,or fences,Victorian Heritage,uses may be,heritage,,,,,,,,,,
ref,,Controls,Controls,Apply?,which are not,Register under the,permitted?,place?,,,,,,,,,,
,,Apply?,Apply?,,exempt under,Heritage Act 2017 ?,,,,,,,,,,,,
,,,,,Clause 43.01-4,,,,,,,,,,,,,
HO4,31-35 CHURCH STREET,Yes,No,No,No,No,No,No,,,,,,,,,,
,ABBOTSFORD,,,,,,,,,,,,,,,,,
,Terrace,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO5,67 CHURCH STREET ABBOTSFORD,Yes,No,No,No,No,No,No,,,,,,,,,,
,River House,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO6,13 CLARKE STREET ABBOTSFORD,Yes,No,No,No,No,No,No,,,,,,,,,,
,House,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO7,29 CLARKE STREET ABBOTSFORD,Yes,No,No,Yes,No,No,No,,,,,,,,,,
,Yarradale Flats,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
PS,Heritage Place,External,Internal,Tree,Outbuildings,Included on the,Prohibited,Aboriginal,,,,,,,,,,
map,,Paint,Alteration,Controls,or fences,Victorian Heritage,uses may be,heritage,,,,,,,,,,
ref,,Controls,Controls,Apply?,which are not,Register under the,permitted?,place?,,,,,,,,,,
,,Apply?,Apply?,,exempt under,Heritage Act 2017 ?,,,,,,,,,,,,
,,,,,Clause 43.01-4,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO8,31-37 CLARKE STREET,Yes,No,No,Yes,No,No,No,,,,,,,,,,
,ABBOTSFORD,,,,,,,,,,,,,,,,,
,Terrace,,,,,,,,,,,,,,,,,
,Incorporated plan:,,,,,,,,,,,,,,,,,
,Incorporated Plan under the provisions,,,,,,,,,,,,,,,,,
,"of clause 43.01 Heritage Overlay,",,,,,,,,,,,,,,,,,
,"Planning permit exemptions, July 2014",,,,,,,,,,,,,,,,,
HO9,CLARKE STREET / ST HELIERS,-,-,-,-,Yes Ref No H951,No,No,,,,,,,,,,
,STREET ABBOTSFORD,,,,,,,,,,,,,,,,,
,Former Convent of the Good Shepherd,,,,,,,,,,,,,,,,,
