Overlay,VHR,HeritagePlace
HO3,H654,2-4 BOND STREET ABBOTSFORD Former Grosvenor Common School
HO9,H951,CLARKE STREET / ST HELIERS STREET ABBOTSFORD Former Convent of the Good Shepherd
HO17,H140,140 HODDLE STREET ABBOTSFORD Collingwood Town Hall
HO29,H1034,34 LULIE STREET ABBOTSFORD Dorothy Terrace
HO30,H1035,36 LULIE STREET ABBOTSFORD Dorothy Terrace
HO31,H1036,38 LULIE STREET ABBOTSFORD Dorothy Terrace
HO32,H1037,40 LULIE STREET ABBOTSFORD Dorothy Terrace
HO33,H1038,42 LULIE STREET ABBOTSFORD Dorothy Terrace
HO34,H1039,44 LULIE STREET ABBOTSFORD Dorothy Terrace
HO35,H1040,46 LULIE STREET ABBOTSFORD Dorothy Terrace
HO36,H1041,48 LULIE STREET ABBOTSFORD Dorothy Terrace
HO38,H142,39 NICHOLSON STREET ABBOTSFORD Residence
HO39,H143,41 NICHOLSON STREET ABBOTSFORD Residence
HO40,H815,48 -60 NICHOLSON STREET ABBOTSFORD Former Denton Hat Mills
HO47,H141,11 STANTON STREET ABBOTSFORD Former Church of Christ
HO48,H1522,Yarra River OFF TRENERRY CRESCENT ABBOTSFORD Dights Mill Site
HO67,H2354,Yarra River CHANDLER HIGHWAY ALPHINGTON Chandler Highway Bridge
HO85,H709,94 ALEXANDRA PARADE CLIFTON HILL Shot Tower
HO86,H1621,183-185 GOLD STREET CLIFTON HILL Gold Street Primary School No. 1360
HO90,H1668,1 HEIDELBERG ROAD CLIFTON HILL Clifton Hill Railway Station Complex
HO92,H684,199 QUEENS PARADE CLIFTON HILL Former United Kingdom Hotel (now McDonald’s)
HO107,H871,8 -10 JOHNSTON STREET COLLINGWOOD Belmont
HO114,H954,"COLLINGWOOD COLLEGE, CNR MCCUTCHEON WAY AND CROMWELL STREET COLLINGWOOD Doll’s House"
HO127,H896,79-93 OXFORD STREET COLLINGWOOD Part of former Foy & Gibson Complex   (Furnishings Warehouse and Clothing Factory)
HO128,H897,95-101 OXFORD STREET COLLINGWOOD Part of former Foy & Gibson Complex (Powerhouse and Motor Garage)
HO129,H755,68-158 OXFORD STREET 103-115 OXFORD STREET 158-172 OXFORD STREET 107-131 CAMBRIDGE STREET AND 7 STANLEY STREET COLLINGWOOD Part of former Foy & Gibson Complex
HO134,H610,136 SACKVILLE STREET COLLINGWOOD Singapore Cottage
HO135,H660,114 SMITH STREET COLLINGWOOD Grace Darling Hotel
HO136,H973,174-180 SMITH STREET COLLINGWOOD Former Collingwood Post Office
HO141,H807,1-21 ROBERT STREET & 88 WELLINGTON STREET COLLINGWOOD Former Yorkshire Brewery
HO143,H497,162 WELLINGTON STREET COLLINGWOOD Former Free Medical Mission Dispensary (Singleton Medical Centre)
HO148,H1726,17 BELL STREET FITZROY Former Exhibition High School Residence
HO149,H1031,40-48 BELL STREET FITZROY Former National School
HO150,H1706,9 BRUNSWICK STREET FITZROY Dodgshun House
HO151,H149,11 BRUNSWICK STREET FITZROY Residence
HO152,H150,13 BRUNSWICK STREET FITZROY Shop and residence
HO154,H470,39-49 BRUNSWICK STREET FITZROY Royal Terrace
HO155,H559,236-252 BRUNSWICK STREET AND 33-62 GREEVES STREET FITZROY Shops
HO156,H528,34-38 FITZROY STREET FITZROY Former Devonshire Arms Hotel
HO158,H553,268 GEORGE STREET FITZROY St Mark’s Anglican Church
HO159,H446,64-78 GERTRUDE STREET FITZROY Glass Terrace
HO160,H886,181-183 GERTRUDE STREET AND 89 GEORGE STREET FITZROY Shops
HO161,H152,209 GORE STREET FITZROY Cobden Terrace
HO162,H153,211 GORE STREET FITZROY Cobden Terrace
HO163,H154,213 GORE STREET FITZROY Cobden Terrace
HO164,H155,215 GORE STREET FITZROY Cobden Terrace
HO165,H156,217 GORE STREET FITZROY Cobden Terrace
HO166,H157,219 GORE STREET FITZROY Cobden Terrace
HO167,H158,221 GORE STREET FITZROY Cobden Terrace
HO168,H159,331 GORE STREET FITZROY Holyrood Terrace
HO169,H160,333 GORE STREET FITZROY Holyrood Terrace
HO170,H161,335 GORE STREET FITZROY Holyrood Terrace
HO171,H162,35-39 HANOVER STREET FITZROY Edward Wills House (Residence)
HO172,H164,36 NAPIER STREET FITZROY Falconer Terrace
HO173,H165,38 NAPIER STREET FITZROY Falconer Terrace
HO174,H166,40 NAPIER STREET FITZROY Falconer Terrace
HO175,H167,42 NAPIER STREET FITZROY   Falconer Terrace
HO176,H168,44 NAPIER STREET FITZROY Falconer Terrace
HO177,H169,46 NAPIER STREET FITZROY Falconer Terrace
HO178,H170,48 NAPIER STREET FITZROY Falconer Terrace
HO179,H171,50 NAPIER STREET FITZROY Falconer Terrace
HO180,H147,201 NAPIER STREET FITZROY Fitzroy Town Hall
HO181,H584,46-48 NICHOLSON STREET CORNER GERTRUDE STREET FITZROY Former Cable Tram Engine House
HO182,H1607,40 NICHOLSON STREET FITZROY Osborne House
HO183,H172,50-68 NICHOLSON STREET FITZROY Royal Terrace
HO184,H507,88 NICHOLSON STREET FITZROY Convent of Mercy and Academy of Mary Immaculate
HO185,H1005,98 NICHOLSON STREET AND 14 HANOVER STREET FITZROY   Cairo Flats
HO186,H539,122 NICHOLSON STREET FITZROY Residence
HO187,H506,165-167 SMITH STREET FITZROY Former Union Bank of Australia
HO189,H1023,VICTORIA PARADE FITZROY/ COLLINGWOOD Ornamental Tramway Overhead Poles
HO190,H816,77 VICTORIA PARADE FITZROY Former Eastern Hill Hotel
